<http://www.worldkg.org/resource/480680383>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038482>
<http://www.worldkg.org/resource/275038470>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/488797726>
<http://www.worldkg.org/resource/217722093>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/226007052>
<http://www.worldkg.org/resource/5669886>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/217722093>
<http://www.worldkg.org/resource/486583091>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038475>
<http://www.worldkg.org/resource/217722093>	<Point_pois-Intersect-Point_pois>	<http://www.worldkg.org/resource/281090893>
<http://www.worldkg.org/resource/242517194>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/5984058502>
<http://www.worldkg.org/resource/46114474>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/Secondary>
<http://www.worldkg.org/resource/275038429>	<http://www.worldkg.org/schema/nycdoittBin>	nycdoittBin-1063423
<http://www.worldkg.org/resource/798544893>	<RegionId>	13_4
<http://www.worldkg.org/resource/486583091>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Line>
<http://www.worldkg.org/resource/275038485>	<Polygon_buildings-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038429>
<http://www.worldkg.org/resource/275038485>	<RegionId>	13_4
<http://www.worldkg.org/resource/122738269>	<http://www.worldkg.org/schema/oneway>	oneway-yes
<http://www.worldkg.org/resource/122738265>	<http://www.worldkg.org/schema/destination>	destination-Henry Hudson Parkway
<http://www.worldkg.org/resource/49032026>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/278618227>
<http://www.worldkg.org/resource/416618175>	<RegionId>	13_4
<http://www.worldkg.org/resource/46114474>	<http://www.worldkg.org/schema/wikipedia>	wikipedia-en:Riverside Drive (Manhattan)
<http://www.worldkg.org/resource/122738265>	<http://www.worldkg.org/schema/oneway>	oneway-yes
<http://www.worldkg.org/resource/275038431>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/BuildingUniversity>
<http://www.worldkg.org/resource/275038497>	<Polygon_buildings-Intersect-Polygon_buildings>	<http://www.worldkg.org/resource/275038475>
<http://www.worldkg.org/resource/5669886>	<http://www.worldkg.org/schema/tigerReviewed>	tigerReviewed-no
<http://www.worldkg.org/resource/226007052>	<http://www.worldkg.org/schema/cyclewayRight>	cyclewayRight-shared_lane
<http://www.worldkg.org/resource/46114474>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/122738269>
<http://www.worldkg.org/resource/275038482>	<RegionId>	13_4
<http://www.worldkg.org/resource/275038431>	<http://www.worldkg.org/schema/height>	height-96.8
<http://www.worldkg.org/resource/693648911>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038475>
<http://www.worldkg.org/resource/275038431>	<http://www.worldkg.org/schema/buildingLevels>	buildingLevels-17
<http://www.worldkg.org/resource/440122898>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/HighwayResidential>
<http://www.worldkg.org/resource/226007049>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/SharedLane>
<http://www.worldkg.org/resource/798544893>	<http://www.worldkg.org/schema/foot>	foot-yes
<http://www.worldkg.org/resource/693648911>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/400456494>
<http://www.worldkg.org/resource/5400493007>	<Point_transport-Adjacent-Line_roads>	<http://www.worldkg.org/resource/416618175>
<http://www.worldkg.org/resource/488797726>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/Secondary>
<http://www.worldkg.org/resource/486583092>	<http://www.worldkg.org/schema/wikipedia>	wikipedia-en:Riverside Drive (Manhattan)
<http://www.worldkg.org/resource/275038489>	<Polygon_buildings-Intersect-Polygon_buildings>	<http://www.worldkg.org/resource/275038470>
<http://www.worldkg.org/resource/486583091>	<http://www.worldkg.org/schema/hgv>	hgv-destination
<http://www.worldkg.org/resource/440122898>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/400456494>
<http://www.worldkg.org/resource/2270245977>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/281090893>
<http://www.worldkg.org/resource/46111605>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/621557577>
<http://www.worldkg.org/resource/798544892>	<http://www.worldkg.org/schema/foot>	foot-designated
<http://www.worldkg.org/resource/1721287283>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/798544893>
<http://www.worldkg.org/resource/1721287283>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/49032026>
<http://www.worldkg.org/resource/122738265>	<http://www.worldkg.org/schema/ref>	ref-HH;NY 9A
<http://www.worldkg.org/resource/281090893>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/2270245977>
<http://www.worldkg.org/resource/440122898>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038429>
<http://www.worldkg.org/resource/2270245977>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/5671739>
<http://www.worldkg.org/resource/5984058502>	<RegionId>	13_4
<http://www.worldkg.org/resource/5400493007>	<RegionId>	13_4
<http://www.worldkg.org/resource/621557579>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Line>
<http://www.worldkg.org/resource/275038429>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/693648914>
<http://www.worldkg.org/resource/49032026>	<http://www.worldkg.org/schema/bicycle>	bicycle-no
<http://www.worldkg.org/resource/488797727>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/46111605>
<http://www.worldkg.org/resource/49032026>	<http://www.worldkg.org/schema/sidewalk>	sidewalk-right
<http://www.worldkg.org/resource/232473896>	<http://www.worldkg.org/schema/ref>	ref-I 95;US 1;US 9
<http://www.worldkg.org/resource/46111605>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/486583091>
<http://www.worldkg.org/resource/49032026>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/232473896>
<http://www.worldkg.org/resource/669610146>	<http://www.worldkg.org/schema/hgv>	hgv-destination
<http://www.worldkg.org/resource/275038475>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/BuildingHospital>
<http://www.worldkg.org/resource/798544892>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/798544893>
<http://www.worldkg.org/resource/275038497>	<RegionId>	13_4
<http://www.worldkg.org/resource/122738269>	<http://www.worldkg.org/schema/goods>	goods-no
<http://www.worldkg.org/resource/275038475>	<http://www.worldkg.org/schema/nycdoittBin>	nycdoittBin-1076746
<http://www.worldkg.org/resource/730156337>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/440122898>
<http://www.worldkg.org/resource/122738265>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/122738269>
<http://www.worldkg.org/resource/440122898>	<RegionId>	13_4
