<http://www.worldkg.org/resource/2610440256>	<Point_transport-Adjacent-Point_pois>	<http://www.worldkg.org/resource/7613305940>
<http://www.worldkg.org/resource/157835453>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/569345542>
<http://www.worldkg.org/resource/266170825>	<Polygon_buildings-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/163629929>
<http://www.worldkg.org/resource/266034047>	<http://www.worldkg.org/schema/wikipedia>	wikipedia-en:New Victory Theater
<http://www.worldkg.org/resource/266149329>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/266149324>
<http://www.worldkg.org/resource/2676979157>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/Restaurant>
<http://www.worldkg.org/resource/4316345593>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/258646144>
<http://www.worldkg.org/resource/2717293880>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/2717293822>
<http://www.worldkg.org/resource/86121621>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/226041025>
<http://www.worldkg.org/resource/2774949526>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/420494981>
<http://www.worldkg.org/resource/266170757>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/137716320>
<http://www.worldkg.org/resource/1752822408>	<http://www.w3.org/2000/01/rdf-schema#label>	Minskoff Theatre
<http://www.worldkg.org/resource/266170540>	<Point_pois-Intersect-Polygon_buildings>	<http://www.worldkg.org/resource/266170758>
<http://www.worldkg.org/resource/266149373>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/702540318>
<http://www.worldkg.org/resource/46695596>	<Line_railway-Adjacent-Line_railway>	<http://www.worldkg.org/resource/823979088>
<http://www.worldkg.org/resource/266170825>	<Polygon_buildings-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266149373>
<http://www.worldkg.org/resource/2717293824>	<Point_pois-Adjacent-Line_railway>	<http://www.worldkg.org/resource/823979087>
<http://www.worldkg.org/resource/163629929>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/226041026>
<http://www.worldkg.org/resource/569345543>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/2678466841>
<http://www.worldkg.org/resource/4350615591>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/266149300>
<http://www.worldkg.org/resource/1899033652>	<http://www.worldkg.org/schema/takeaway>	takeaway-yes
<http://www.worldkg.org/resource/420494981>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/SharedLane>
<http://www.worldkg.org/resource/266034046>	<Polygon_buildings-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266034080>
<http://www.worldkg.org/resource/266170764>	<RegionId>	5_4
